,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,SABOR (%), Vol (Rmill) ,FX (%) ,Vol (Rmill),,,,,,
"26-May-08,Mon",11.203," R 73,182 ",0.000, R - ,,,,,,
"27-May-08,Tue",11.225," R 71,412 ",11.567," R 13,605 ",,,,,,
"28-May-08,Wed",11.220," R 63,137 ",11.447," R 10,229 ",,,,,,
"29-May-08,Thu",11.222," R 76,314 ",11.478," R 6,185 ",,,,,,
"30-May-08,Fri",11.231," R 70,061 ",11.661," R 15,702 ",,,,,,
"02-Jun-08,Mon",11.221," R 71,378 ",11.332," R 13,046 ",,,,,,
"03-Jun-08,Tue",11.226," R 73,964 ",11.476," R 14,437 ",,,,,,
"04-Jun-08,Wed",11.225," R 74,293 ",11.335," R 24,008 ",,,,,,
"05-Jun-08,Thu",11.225," R 71,745 ",11.486," R 17,371 ",,,,,,
"06-Jun-08,Fri",11.215," R 75,094 ",11.419," R 16,021 ",,,,,,
"09-Jun-08,Mon",11.234," R 81,089 ",11.622," R 17,326 ",,,,,,
"10-Jun-08,Tue",11.246," R 83,126 ",11.478," R 18,358 ",,,,,,
"11-Jun-08,Wed",11.245," R 83,991 ",11.406," R 18,333 ",,,,,,
"12-Jun-08,Thu",11.246," R 85,656 ",11.349," R 22,283 ",,,,,,
"13-Jun-08,Fri",11.623," R 91,621 ",11.737," R 16,080 ",,,,,,
"16-Jun-08,Mon",11.623," R 91,621 ",11.737," R 16,080 ",,,,,,
"17-Jun-08,Tue",11.670," R 90,129 ",11.696," R 23,615 ",,,,,,
"18-Jun-08,Wed",11.685," R 86,612 ",11.767," R 20,054 ",,,,,,
"19-Jun-08,Thu",11.685," R 92,809 ",11.799," R 17,577 ",,,,,,
"20-Jun-08,Fri",11.686," R 90,716 ",11.926," R 23,075 ",,,,,,
"23-Jun-08,Mon",11.685," R 91,969 ",11.745," R 32,152 ",,,,,,
"24-Jun-08,Tue",11.689," R 90,890 ",11.778," R 25,556 ",,,,,,
"25-Jun-08,Wed",11.675," R 89,470 ",11.776," R 28,828 ",,,,,,
"26-Jun-08,Thu",11.670," R 89,520 ",11.816," R 15,921 ",,,,,,
"27-Jun-08,Fri",11.698," R 93,721 ",12.090," R 11,794 ",,,,,,
"30-Jun-08,Mon",11.689," R 90,910 ",12.155," R 12,506 ",,,,,,
"01-Jul-08,Tue",11.669," R 90,796 ",11.946," R 16,883 ",,,,,,
"02-Jul-08,Wed",11.672," R 94,166 ",11.920," R 25,350 ",,,,,,
"03-Jul-08,Thu",11.671," R 88,227 ",11.868," R 12,778 ",,,,,,
"04-Jul-08,Fri",11.678," R 87,472 ",0.000, R - ,,,,,,
"07-Jul-08,Mon",11.700," R 85,178 ",11.989," R 16,741 ",,,,,,
"08-Jul-08,Tue",11.695," R 86,606 ",11.878," R 13,802 ",,,,,,
"09-Jul-08,Wed",11.715," R 82,167 ",11.783," R 15,334 ",,,,,,
"10-Jul-08,Thu",11.702," R 81,289 ",11.921," R 14,250 ",,,,,,
"11-Jul-08,Fri",11.705," R 77,818 ",11.892," R 9,973 ",,,,,,
"14-Jul-08,Mon",11.695," R 79,043 ",11.882," R 11,445 ",,,,,,
"15-Jul-08,Tue",11.693," R 81,103 ",11.926," R 12,058 ",,,,,,
"16-Jul-08,Wed",11.698," R 83,041 ",11.896," R 13,479 ",,,,,,
"17-Jul-08,Thu",11.674," R 88,958 ",11.826," R 14,953 ",,,,,,
"18-Jul-08,Fri",11.670," R 87,719 ",11.807," R 16,313 ",,,,,,
"21-Jul-08,Mon",11.695," R 83,031 ",11.921," R 20,548 ",,,,,,
"22-Jul-08,Tue",11.697," R 80,155 ",11.898," R 21,700 ",,,,,,
"23-Jul-08,Wed",11.693," R 76,654 ",11.835," R 16,222 ",,,,,,
"24-Jul-08,Thu",11.705," R 75,294 ",11.970," R 11,905 ",,,,,,
"25-Jul-08,Fri",11.710," R 79,576 ",11.957," R 14,732 ",,,,,,
"28-Jul-08,Mon",11.718," R 82,623 ",11.940," R 16,110 ",,,,,,
"29-Jul-08,Tue",11.722," R 83,640 ",12.029," R 10,579 ",,,,,,
"30-Jul-08,Wed",11.733," R 87,838 ",11.914," R 7,662 ",,,,,,
"31-Jul-08,Thu",11.728," R 85,398 ",11.855," R 11,637 ",,,,,,
"01-Aug-08,Fri",11.706," R 81,416 ",11.854," R 13,081 ",,,,,,
"04-Aug-08,Mon",11.705," R 82,133 ",11.795," R 12,875 ",,,,,,
"05-Aug-08,Tue",11.701," R 87,160 ",11.654," R 13,378 ",,,,,,
"06-Aug-08,Wed",11.716," R 87,197 ",11.834," R 15,400 ",,,,,,
"07-Aug-08,Thu",11.708," R 72,126 ",11.839," R 14,415 ",,,,,,
"08-Aug-08,Fri",11.721," R 83,177 ",11.785," R 14,024 ",,,,,,
"11-Aug-08,Mon",11.710," R 82,143 ",11.710," R 14,199 ",,,,,,
"12-Aug-08,Tue",11.713," R 80,553 ",11.781," R 13,232 ",,,,,,
"13-Aug-08,Wed",11.716," R 82,238 ",11.876," R 17,123 ",,,,,,
"14-Aug-08,Thu",11.725," R 82,952 ",11.871," R 20,360 ",,,,,,
"15-Aug-08,Fri",11.677," R 83,462 ",11.943," R 15,780 ",,,,,,
"18-Aug-08,Mon",11.664," R 82,972 ",11.867," R 15,856 ",,,,,,
"19-Aug-08,Tue",11.690," R 80,310 ",11.914," R 19,197 ",,,,,,
"20-Aug-08,Wed",11.656," R 87,094 ",11.853," R 16,416 ",,,,,,
"21-Aug-08,Thu",11.629," R 83,522 ",11.964," R 11,111 ",,,,,,
"22-Aug-08,Fri",11.670," R 91,226 ",11.981," R 13,777 ",,,,,,
"25-Aug-08,Mon",11.690," R 84,980 ",11.882," R 12,009 ",,,,,,
"26-Aug-08,Tue",11.688," R 84,239 ",11.840," R 11,970 ",,,,,,
"27-Aug-08,Wed",11.689," R 84,258 ",11.812," R 10,102 ",,,,,,
"28-Aug-08,Thu",11.695," R 84,408 ",11.949," R 14,891 ",,,,,,
"29-Aug-08,Fri",11.693," R 80,967 ",12.019," R 13,776 ",,,,,,
"01-Sep-08,Mon",11.708," R 82,290 ",0.000, R - ,,,,,,
"02-Sep-08,Tue",11.697," R 78,108 ",11.825," R 19,161 ",,,,,,
"03-Sep-08,Wed",11.693," R 78,201 ",11.843," R 21,715 ",,,,,,
"04-Sep-08,Thu",11.692," R 77,146 ",11.750," R 17,846 ",,,,,,
"05-Sep-08,Fri",11.694," R 81,777 ",11.866," R 14,860 ",,,,,,
"08-Sep-08,Mon",11.697," R 86,949 ",11.916," R 13,880 ",,,,,,
"09-Sep-08,Tue",11.698," R 81,416 ",11.978," R 15,406 ",,,,,,
"10-Sep-08,Wed",11.695," R 88,098 ",11.903," R 16,216 ",,,,,,
"11-Sep-08,Thu",11.702," R 85,028 ",11.926," R 12,757 ",,,,,,
"12-Sep-08,Fri",11.705," R 84,416 ",11.920," R 12,638 ",,,,,,
"15-Sep-08,Mon",11.702," R 87,660 ",11.945," R 13,529 ",,,,,,
"16-Sep-08,Tue",11.703," R 93,655 ",11.728," R 14,405 ",,,,,,
"17-Sep-08,Wed",11.687," R 100,360 ",11.234," R 15,752 ",,,,,,
"18-Sep-08,Thu",11.686," R 86,026 ",11.218," R 14,673 ",,,,,,
"19-Sep-08,Fri",11.719," R 93,971 ",11.762," R 15,081 ",,,,,,
"22-Sep-08,Mon",11.718," R 87,875 ",11.842," R 16,437 ",,,,,,
"23-Sep-08,Tue",11.784," R 91,136 ",12.114," R 16,737 ",,,,,,
"24-Sep-08,Wed",11.784," R 91,136 ",12.114," R 16,737 ",,,,,,
"25-Sep-08,Thu",11.732," R 81,922 ",11.829," R 12,249 ",,,,,,
